accuracy,hidden_layer_size,alpha,max_iter,solver
0.07625272331154684,"[250, 250]",0.6,400,sgd
0.10457516339869281,"[250, 250]",0.6,400,sgd
0.08496732026143791,"[250, 250]",0.6,400,sgd
0.10675381263616558,"[300, 300]",0.0001,400,sgd
0.15904139433551198,"[300, 300]",0.0001,400,sgd
0.1111111111111111,"[300, 300]",0.0001,400,sgd
0.11982570806100218,"[300, 300]",0.001,400,sgd
0.14161220043572983,"[300, 300]",0.001,400,sgd
0.13071895424836602,"[300, 300]",0.001,400,sgd
0.11982570806100218,"[300, 300]",0.01,400,sgd
0.14161220043572983,"[300, 300]",0.01,400,sgd
0.1328976034858388,"[300, 300]",0.01,400,sgd
0.10457516339869281,"[300, 300]",0.1,400,sgd
0.14161220043572983,"[300, 300]",0.1,400,sgd
0.12854030501089325,"[300, 300]",0.1,400,sgd
0.09586056644880174,"[300, 300]",0.3,400,sgd
0.11764705882352941,"[300, 300]",0.3,400,sgd
0.10239651416122005,"[300, 300]",0.3,400,sgd
0.08496732026143791,"[300, 300]",0.5,400,sgd
0.09803921568627451,"[300, 300]",0.5,400,sgd
0.0915032679738562,"[300, 300]",0.5,400,sgd
0.06971677559912855,"[300, 300]",0.6,400,sgd
0.10239651416122005,"[300, 300]",0.6,400,sgd
0.09586056644880174,"[300, 300]",0.6,400,sgd
